Name,Pokedex Number,Types,Height,Weight,Abilities,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,BST,Moves
Politoed,0186,['Water'],1.1 m (3′07″),33.9 kg (74.7 lbs),"['Water Absorb', 'Damp', 'Drizzle']",90,75,75,90,100,70,500,set()
Hoppip,0187,"['Grass', 'Flying']",0.4 m (1′04″),0.5 kg (1.1 lbs),"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",35,35,40,35,55,50,250,"{'Tail Whip', 'Giga Drain', 'Splash', 'Seed Bomb', 'Baton Pass', 'Rest', 'Leaf Storm', 'Mega Drain', 'Thief', 'Rage Powder', 'Fairy Wind', 'Sunny Day', 'Reflect', 'Worry Seed', 'Tailwind', 'Absorb', 'Pollen Puff', 'Switcheroo', 'Solar Beam', 'Leech Seed', 'Strength Sap', 'Facade', 'Sleep Talk', 'Aerial Ace', 'Fling', 'Dazzling Gleam', 'Double-Edge', 'U-turn', 'Sleep Powder', 'Helping Hand', 'Tera Blast', 'Cotton Guard', 'Lunge', 'Stun Spore', 'Endure', 'Memento', 'Substitute', 'Bullet Seed', 'Grass Knot', 'Rain Dance', 'Acrobatics', 'Energy Ball', 'Cotton Spore', 'Magical Leaf', 'Light Screen', 'Bounce', 'Grassy Terrain', 'Protect', 'Poison Powder', 'Tackle', 'Encore', 'Take Down', 'Charm', 'Synthesis', 'Trailblaze', 'Swords Dance'}"
Skiploom,0188,"['Grass', 'Flying']",0.6 m (2′00″),1.0 kg (2.2 lbs),"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",55,45,50,45,65,80,340,"{'Tail Whip', 'Giga Drain', 'Splash', 'Seed Bomb', 'Baton Pass', 'Rest', 'Leaf Storm', 'Mega Drain', 'Thief', 'Rage Powder', 'Fairy Wind', 'Sunny Day', 'Reflect', 'Worry Seed', 'Tailwind', 'Absorb', 'Endeavor', 'Pollen Puff', 'Switcheroo', 'Solar Beam', 'Leech Seed', 'Strength Sap', 'Facade', 'Sleep Talk', 'Aerial Ace', 'Fling', 'Dazzling Gleam', 'Double-Edge', 'U-turn', 'Sleep Powder', 'Helping Hand', 'Tera Blast', 'Cotton Guard', 'Lunge', 'Stun Spore', 'Endure', 'Memento', 'Substitute', 'Bullet Seed', 'Grass Knot', 'Rain Dance', 'Acrobatics', 'Energy Ball', 'Cotton Spore', 'Magical Leaf', 'Light Screen', 'Bounce', 'Grassy Terrain', 'Protect', 'Poison Powder', 'Tackle', 'Encore', 'Take Down', 'Charm', 'Synthesis', 'Trailblaze', 'Swords Dance'}"
Jumpluff,0189,"['Grass', 'Flying']",0.8 m (2′07″),3.0 kg (6.6 lbs),"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",75,55,70,55,95,110,460,"{'Tail Whip', 'Giga Drain', 'Splash', 'Seed Bomb', 'Baton Pass', 'Rest', 'Leaf Storm', 'Mega Drain', 'Thief', 'Giga Impact', 'Rage Powder', 'Fairy Wind', 'Sunny Day', 'Reflect', 'Worry Seed', 'Tailwind', 'Absorb', 'Hyper Beam', 'Endeavor', 'Pollen Puff', 'Switcheroo', 'Solar Beam', 'Leech Seed', 'Strength Sap', 'Facade', 'Sleep Talk', 'Aerial Ace', 'Fling', 'Dazzling Gleam', 'Double-Edge', 'U-turn', 'Sleep Powder', 'Helping Hand', 'Tera Blast', 'Cotton Guard', 'Lunge', 'Stun Spore', 'Endure', 'Memento', 'Substitute', 'Bullet Seed', 'Grass Knot', 'Rain Dance', 'Acrobatics', 'Energy Ball', 'Cotton Spore', 'Magical Leaf', 'Light Screen', 'Bounce', 'Grassy Terrain', 'Protect', 'Poison Powder', 'Tackle', 'Encore', 'Take Down', 'Charm', 'Synthesis', 'Trailblaze', 'Swords Dance'}"
Aipom,0190,['Normal'],0.8 m (2′07″),11.5 kg (25.4 lbs),"['Run Away', 'Pickup', 'Skill Link']",55,70,55,40,55,85,360,"{'Spite', 'Tail Whip', 'Sand Attack', 'Baton Pass', 'Quick Guard', 'Water Pulse', 'Shadow Claw', 'Seed Bomb', 'Dig', 'Rest', 'Knock Off', 'Iron Tail', 'Double Hit', 'Low Kick', 'Fire Punch', 'Thief', 'Thunder Punch', 'Sunny Day', 'Brick Break', 'Endeavor', 'Slam', 'Switcheroo', 'Solar Beam', 'Facade', 'Sleep Talk', 'Nasty Plot', 'Foul Play', 'Thunderbolt', 'Throat Chop', 'Aerial Ace', 'Upper Hand', 'Screech', 'Tickle', 'Fling', 'Smack Down', 'Swift', 'Covet', 'Double-Edge', 'U-turn', 'Ice Punch', 'Taunt', 'Helping Hand', 'Beat Up', 'Tera Blast', 'Mud Shot', 'Counter', 'Focus Punch', 'Endure', 'Substitute', 'Grass Knot', 'Fake Out', 'Acrobatics', 'Rain Dance', 'Chilling Water', 'Gunk Shot', 'Bounce', 'Low Sweep', 'Protect', 'Agility', 'Shadow Ball', 'Thunder', 'Take Down', 'Scratch', 'Mud-Slap', 'Fury Swipes', 'Trailblaze', 'Metronome', 'Last Resort', 'Thunder Wave', 'Astonish'}"
Sunkern,0191,['Grass'],0.3 m (1′00″),1.8 kg (4.0 lbs),"['Chlorophyll', 'Solar Power', 'Early Bird']",30,30,30,30,30,30,180,"{'Ingrain', 'Giga Drain', 'Seed Bomb', 'Curse', 'Rest', 'Leaf Storm', 'Mega Drain', 'Growth', 'Sunny Day', 'Endeavor', 'Worry Seed', 'Absorb', 'Solar Beam', 'Leech Seed', 'Morning Sun', 'Facade', 'Sleep Talk', 'Earth Power', 'Double-Edge', 'Helping Hand', 'Tera Blast', 'Razor Leaf', 'Endure', 'Substitute', 'Bullet Seed', 'Grass Knot', 'Rain Dance', 'Energy Ball', 'Magical Leaf', 'Light Screen', 'Grassy Terrain', 'Protect', 'Weather Ball', 'Tackle', 'Encore', 'Take Down', 'Synthesis', 'Trailblaze'}"
Sunflora,0192,['Grass'],0.8 m (2′07″),8.5 kg (18.7 lbs),"['Chlorophyll', 'Solar Power', 'Early Bird']",75,75,55,105,85,30,425,"{'Ingrain', 'Giga Drain', 'Pound', 'Seed Bomb', 'Curse', 'Rest', 'Leaf Storm', 'Mega Drain', 'Growth', 'Giga Impact', 'Sunny Day', 'Hyper Beam', 'Endeavor', 'Worry Seed', 'Absorb', 'Solar Beam', 'Leech Seed', 'Morning Sun', 'Facade', 'Sleep Talk', 'Earth Power', 'Dazzling Gleam', 'Double-Edge', 'Helping Hand', 'Tera Blast', 'Razor Leaf', 'Petal Dance', 'Petal Blizzard', 'Endure', 'Substitute', 'Bullet Seed', 'Grass Knot', 'Rain Dance', 'Energy Ball', 'Sludge Bomb', 'Grassy Glide', 'Magical Leaf', 'Light Screen', 'Grassy Terrain', 'Protect', 'Weather Ball', 'Tackle', 'Encore', 'Take Down', 'Trailblaze', 'Swords Dance'}"
Yanma,0193,"['Bug', 'Flying']",1.2 m (3′11″),38.0 kg (83.8 lbs),"['Speed Boost', 'Compound Eyes', 'Frisk']",65,65,45,75,45,95,390,"{'Air Cutter', 'Quick Attack', 'Psychic Noise', 'Giga Drain', 'Rest', 'Thief', 'Sunny Day', 'Tailwind', 'Feint', 'Air Slash', 'Bug Bite', 'Ancient Power', 'Struggle Bug', 'Pounce', 'Solar Beam', 'Facade', 'Sleep Talk', 'Skitter Smack', 'Aerial Ace', 'Reversal', 'Screech', 'Double Team', 'Swift', 'Psychic', 'Double-Edge', 'U-turn', 'Psych Up', 'Tera Blast', 'Leech Life', 'Whirlwind', 'Bug Buzz', 'Lunge', 'Endure', 'Substitute', 'Wing Attack', 'Protect', 'Shadow Ball', 'Tackle', 'Detect', 'Take Down', 'Hypnosis', 'Supersonic', 'Swords Dance', 'Uproar'}"
Wooper,0194,"['Water', 'Ground']",0.4 m (1′04″),8.5 kg (18.7 lbs),"['Damp', 'Water Absorb', 'Unaware']",55,45,45,25,25,15,210,set()
Quagsire,0195,"['Water', 'Ground']",1.4 m (4′07″),75.0 kg (165.3 lbs),"['Damp', 'Water Absorb', 'Unaware']",95,85,85,65,65,35,430,set()
Espeon,0196,['Psychic'],0.9 m (2′11″),26.5 kg (58.4 lbs),"['Synchronize', 'Magic Bounce']",65,65,60,130,95,110,525,"{'Psychic Noise', 'Quick Attack', 'Calm Mind', 'Tail Whip', 'Sand Attack', 'Confuse Ray', 'Baton Pass', 'Curse', 'Imprison', 'Dig', 'Rest', 'Hyper Voice', 'Giga Impact', 'Sunny Day', 'Reflect', 'Hyper Beam', 'Future Sight', 'Wish', 'Growl', 'Roar', 'Baby-Doll Eyes', 'Bite', 'Morning Sun', 'Power Gem', 'Facade', 'Sleep Talk', 'Skill Swap', 'Tickle', 'Psyshock', 'Swift', 'Covet', 'Psychic', 'Double-Edge', 'Helping Hand', 'Psych Up', 'Confusion', 'Double Kick', 'Dazzling Gleam', 'Psychic Terrain', 'Tera Blast', 'Flail', 'Zen Headbutt', 'Body Slam', 'Fake Tears', 'Psychic Fangs', 'Endure', 'Substitute', 'Trick Room', 'Alluring Voice', 'Draining Kiss', 'Grass Knot', 'Rain Dance', 'Trick', 'Gravity', 'Magical Leaf', 'Copycat', 'Light Screen', 'Yawn', 'Protect', 'Shadow Ball', 'Weather Ball', 'Tackle', 'Take Down', 'Charm', 'Psybeam', 'Detect', 'Mud-Slap', 'Stored Power', 'Power Swap', 'Trailblaze', 'Expanding Force', 'Last Resort', 'Thunder Wave'}"
Umbreon,0197,['Dark'],1.0 m (3′03″),27.0 kg (59.5 lbs),"['Synchronize', 'Inner Focus']",95,65,110,60,130,65,525,"{'Quick Attack', 'Spite', 'Calm Mind', 'Tail Whip', 'Sand Attack', 'Confuse Ray', 'Curse', 'Dig', 'Rest', 'Hyper Voice', 'Crunch', 'Thief', 'Giga Impact', 'Sunny Day', 'Reflect', 'Hyper Beam', 'Guard Swap', 'Wish', 'Growl', 'Roar', 'Baby-Doll Eyes', 'Bite', 'Facade', 'Sleep Talk', 'Foul Play', 'Skill Swap', 'Throat Chop', 'Screech', 'Tickle', 'Scary Face', 'Snarl', 'Swift', 'Covet', 'Double Kick', 'Double-Edge', 'Helping Hand', 'Taunt', 'Psychic', 'Tera Blast', 'Mean Look', 'Toxic', 'Psych Up', 'Flail', 'Body Slam', 'Fake Tears', 'Endure', 'Substitute', 'Dark Pulse', 'Lash Out', 'Alluring Voice', 'Rain Dance', 'Assurance', 'Light Screen', 'Copycat', 'Moonlight', 'Yawn', 'Protect', 'Shadow Ball', 'Weather Ball', 'Tackle', 'Take Down', 'Charm', 'Detect', 'Mud-Slap', 'Stored Power', 'Baton Pass', 'Trailblaze', 'Last Resort', 'Thunder Wave'}"
Murkrow,0198,"['Dark', 'Flying']",0.5 m (1′08″),2.1 kg (4.6 lbs),"['Insomnia', 'Super Luck', 'Prankster']",60,85,42,85,42,91,405,"{'Sucker Punch', 'Quash', 'Air Cutter', 'Spite', 'Dual Wingbeat', 'Brave Bird', 'Calm Mind', 'Psychic Noise', 'Confuse Ray', 'Night Shade', 'Rest', 'Gust', 'Heat Wave', 'Thief', 'Giga Impact', 'Sunny Day', 'Hyper Beam', 'Tailwind', 'Air Slash', 'Flatter', 'Hex', 'Facade', 'Sleep Talk', 'Foul Play', 'Nasty Plot', 'Aerial Ace', 'Screech', 'Peck', 'Scary Face', 'Snarl', 'Psychic', 'Hurricane', 'Double-Edge', 'Icy Wind', 'Taunt', 'U-turn', 'Tera Blast', 'Mean Look', 'Drill Peck', 'Whirlwind', 'Torment', 'Feather Dance', 'Perish Song', 'Sky Attack', 'Endure', 'Substitute', 'Dark Pulse', 'Lash Out', 'Wing Attack', 'Acrobatics', 'Assurance', 'Rain Dance', 'Fly', 'Protect', 'Shadow Ball', 'Take Down', 'Haze', 'Mud-Slap', 'Uproar', 'Thunder Wave', 'Astonish'}"
Slowking,0199,"['Water', 'Psychic']",2.0 m (6′07″),79.5 kg (175.3 lbs),"['Oblivious', 'Own Tempo', 'Regenerator']",95,75,80,100,110,30,490,set()
Misdreavus,0200,['Ghost'],0.7 m (2′04″),1.0 kg (2.2 lbs),['Levitate'],60,60,60,85,85,85,435,"{'Sucker Punch', 'Psychic Noise', 'Spite', 'Calm Mind', 'Confuse Ray', 'Charge Beam', 'Night Shade', 'Curse', 'Imprison', 'Rest', 'Hyper Voice', 'Pain Split', 'Burning Jealousy', 'Thief', 'Will-O-Wisp', 'Sunny Day', 'Giga Impact', 'Hyper Beam', 'Phantom Force', 'Future Sight', 'Wonder Room', 'Growl', 'Power Gem', 'Hex', 'Facade', 'Sleep Talk', 'Foul Play', 'Skill Swap', 'Destiny Bond', 'Thunderbolt', 'Nasty Plot', 'Poltergeist', 'Screech', 'Psyshock', 'Scary Face', 'Swift', 'Psychic', 'Dazzling Gleam', 'Icy Wind', 'Taunt', 'Confusion', 'Helping Hand', 'Mean Look', 'Tera Blast', 'Psych Up', 'Perish Song', 'Shadow Sneak', 'Fake Tears', 'Trick Room', 'Endure', 'Memento', 'Dark Pulse', 'Substitute', 'Draining Kiss', 'Grass Knot', 'Rain Dance', 'Trick', 'Energy Ball', 'Magical Leaf', 'Shadow Ball', 'Protect', 'Thunder', 'Psybeam', 'Charm', 'Stored Power', 'Snowscape', 'Payback', 'Thunder Wave', 'Astonish'}"
Unown,0201,['Psychic'],0.5 m (1′08″),5.0 kg (11.0 lbs),['Levitate'],48,72,48,72,48,48,336,{'Hidden Power'}
Wobbuffet,0202,['Psychic'],1.3 m (4′03″),28.5 kg (62.8 lbs),"['Shadow Tag', 'Telepathy']",190,33,58,33,58,33,405,"{'Splash', 'Counter', 'Amnesia', 'Encore', 'Safeguard', 'Charm', 'Destiny Bond', 'Mirror Coat'}"
Girafarig,0203,"['Normal', 'Psychic']",1.5 m (4′11″),41.5 kg (91.5 lbs),"['Inner Focus', 'Early Bird', 'Sap Sipper']",70,80,65,90,65,85,455,set()
Pineco,0204,['Bug'],0.6 m (2′00″),7.2 kg (15.9 lbs),"['Sturdy', 'Overcoat']",50,65,90,35,35,15,290,"{'Drill Run', 'Giga Drain', 'Seed Bomb', 'Curse', 'Iron Defense', 'Dig', 'Rest', 'Pain Split', 'Power Trick', 'Sunny Day', 'Reflect', 'Rock Tomb', 'Self-Destruct', 'Toxic Spikes', 'Bug Bite', 'Pounce', 'Struggle Bug', 'Solar Beam', 'Spikes', 'Rock Slide', 'Facade', 'Sleep Talk', 'Reversal', 'Swift', 'Stealth Rock', 'Rapid Spin', 'Double-Edge', 'Helping Hand', 'Rollout', 'Tera Blast', 'Bulldoze', 'Venoshock', 'Rock Blast', 'Counter', 'Flail', 'Body Slam', 'Bug Buzz', 'Lunge', 'Endure', 'Substitute', 'Pin Missile', 'Ice Spinner', 'Poison Jab', 'Rain Dance', 'Gravity', 'Sandstorm', 'Light Screen', 'Protect', 'Explosion', 'Tackle', 'Take Down', 'Sand Tomb', 'Gyro Ball', 'Payback'}"
Forretress,0205,"['Bug', 'Steel']",1.2 m (3′11″),125.8 kg (277.3 lbs),"['Sturdy', 'Overcoat']",75,90,140,60,60,40,465,"{'Drill Run', 'Smart Strike', 'Giga Drain', 'Seed Bomb', 'Curse', 'Iron Defense', 'Dig', 'Rest', 'Iron Head', 'Pain Split', 'Power Trick', 'Giga Impact', 'Sunny Day', 'Reflect', 'Stone Edge', 'Rock Tomb', 'Self-Destruct', 'Toxic Spikes', 'Hyper Beam', 'Bug Bite', 'Heavy Slam', 'Struggle Bug', 'Pounce', 'Zap Cannon', 'Spikes', 'Rock Slide', 'Solar Beam', 'Facade', 'Sleep Talk', 'Earthquake', 'Volt Switch', 'Hard Press', 'Reversal', 'Earth Power', 'Swift', 'Stealth Rock', 'Rapid Spin', 'Double-Edge', 'Helping Hand', 'Rollout', 'Tera Blast', 'Bulldoze', 'Venoshock', 'Rock Blast', 'Counter', 'Flail', 'Body Slam', 'Bug Buzz', 'Steel Beam', 'Lunge', 'Endure', 'Substitute', 'Pin Missile', 'Ice Spinner', 'Poison Jab', 'Rain Dance', 'Gravity', 'Sandstorm', 'Magnet Rise', 'Light Screen', 'Protect', 'Flash Cannon', 'Explosion', 'Tackle', 'Take Down', 'Sand Tomb', 'Gyro Ball', 'Metal Sound', 'Body Press', 'Payback', 'Thunder Wave'}"
Dunsparce,0206,['Normal'],1.5 m (4′11″),14.0 kg (30.9 lbs),"['Serene Grace', 'Run Away', 'Rattled']",100,70,70,65,65,45,415,"{'Thief', 'Pounce', 'Bite', 'Earthquake', 'Stealth Rock', 'Double-Edge', 'Tera Blast', 'Bulldoze', 'Flail', 'Zen Headbutt', 'Lunge', 'Endure', 'Yawn', 'Gyro Ball', 'Mud-Slap', 'Uproar', 'Smart Strike', 'Curse', 'Endeavor', 'Stone Edge', 'Hyper Beam', 'Air Slash', 'Rock Slide', 'Sleep Talk', 'Blizzard', 'Helping Hand', 'Rain Dance', 'Dragon Rush', 'Chilling Water', 'Stomping Tantrum', 'Roost', 'Shadow Ball', 'Take Down', 'Baton Pass', 'Astonish', 'Breaking Swipe', 'Scale Shot', 'Poison Tail', 'Drill Run', 'Calm Mind', 'Rest', 'Hyper Voice', 'Sunny Day', 'Rock Tomb', 'Hex', 'Thunderbolt', 'Glare', 'Skitter Smack', 'Screech', 'Scary Face', 'Toxic', 'Psych Up', 'Rollout', 'Hyper Drill', 'Body Slam', 'Ice Spinner', 'Poison Jab', 'Sandstorm', 'Aqua Tail', 'Thunder', 'Stored Power', 'Spite', 'Dig', 'Pain Split', 'Giga Impact', 'Ancient Power', 'Solar Beam', 'Ice Beam', 'Facade', 'Amnesia', 'Fire Blast', 'Earth Power', 'Mud Shot', 'Headbutt', 'Defense Curl', 'Substitute', 'Coil', 'Flamethrower', 'Protect', 'Agility', 'Last Resort', 'Wild Charge'}"
Gligar,0207,"['Ground', 'Flying']",1.1 m (3′07″),64.8 kg (142.9 lbs),"['Hyper Cutter', 'Sand Veil', 'Immunity']",65,75,105,35,65,85,430,"{'Dual Wingbeat', 'Quick Attack', 'Scale Shot', 'Poison Tail', 'High Horsepower', 'Sand Attack', 'Baton Pass', 'Rest', 'Poison Sting', 'Knock Off', 'Crunch', 'X-Scissor', 'Metal Claw', 'Thief', 'Sunny Day', 'Brick Break', 'Tailwind', 'Rock Tomb', 'Toxic Spikes', 'Stone Edge', 'Feint', 'Struggle Bug', 'Spikes', 'Rock Slide', 'Facade', 'Sleep Talk', 'Earthquake', 'Skitter Smack', 'Throat Chop', 'Aerial Ace', 'Screech', 'Crabhammer', 'Scary Face', 'Fling', 'Earth Power', 'Swift', 'Toxic', 'Stealth Rock', 'Double-Edge', 'U-turn', 'Taunt', 'Tera Blast', 'Harden', 'Bulldoze', 'Mud Shot', 'Counter', 'Venoshock', 'False Swipe', 'Night Slash', 'Thunder Fang', 'Lunge', 'Psychic Fangs', 'Endure', 'Substitute', 'Dark Pulse', 'Slash', 'Wing Attack', 'Acrobatics', 'Rain Dance', 'Fire Fang', 'Sandstorm', 'Poison Jab', 'Gunk Shot', 'Sludge Bomb', 'Protect', 'Agility', 'Take Down', 'Sand Tomb', 'Cross Poison', 'Fury Cutter', 'Mud-Slap', 'Ice Fang', 'Swords Dance', 'Breaking Swipe'}"
Steelix,0208,"['Steel', 'Ground']",9.2 m (30′02″),400.0 kg (881.8 lbs),"['Rock Head', 'Sturdy', 'Sheer Force']",75,85,200,55,65,30,510,"{'High Horsepower', 'Rock Smash', 'Rest', 'Iron Head', 'Iron Tail', 'Giga Impact', 'Ice Ball', 'Hyper Beam', 'Stone Edge', 'Rock Slide', 'Power Shift', 'Earth Power', 'Stealth Rock', 'Rollout', 'Bulldoze', 'Steel Beam', 'Thunder Fang', 'Dark Pulse', 'Fire Fang', 'Aqua Tail', 'Flash Cannon', 'Tackle', 'Ice Fang'}"
Snubbull,0209,['Fairy'],0.6 m (2′00″),7.8 kg (17.2 lbs),"['Intimidate', 'Run Away', 'Rattled']",60,80,50,40,40,30,300,"{'Low Kick', 'Thief', 'Bulk Up', 'Brick Break', 'Overheat', 'Bite', 'Earthquake', 'Fling', 'Double-Edge', 'Taunt', 'Tera Blast', 'Bulldoze', 'Endure', 'Snore', 'Sludge Bomb', 'Mud-Slap', 'Ice Fang', 'Play Rough', 'Metronome', 'Uproar', 'Curse', 'Fire Punch', 'Thunder Punch', 'Endeavor', 'Close Combat', 'Sleep Talk', 'Helping Hand', 'Lick', 'Counter', 'Thunder Fang', 'Fake Tears', 'Temper Flare', 'Rain Dance', 'Fire Fang', 'Retaliate', 'Stomping Tantrum', 'Shadow Ball', 'Take Down', 'Charm', 'Trailblaze', 'Thunder Wave', 'Water Pulse', 'Rest', 'Hyper Voice', 'Sunny Day', 'Mimic', 'Thunderbolt', 'Scary Face', 'Focus Punch', 'Body Slam', 'Psychic Fangs', 'Present', 'Thunder', 'Encore', 'Payback', 'Spite', 'Tail Whip', 'Dig', 'Crunch', 'Solar Beam', 'Growl', 'Roar', 'Facade', 'Super Fang', 'Reversal', 'Fire Blast', 'Snarl', 'Dazzling Gleam', 'Ice Punch', 'Headbutt', 'Substitute', 'Lash Out', 'Flamethrower', 'Protect', 'Tackle', 'Last Resort', 'Wild Charge'}"
Granbull,0210,['Fairy'],1.4 m (4′07″),48.7 kg (107.4 lbs),"['Intimidate', 'Quick Feet', 'Rattled']",90,120,75,60,60,45,450,"{'Low Kick', 'Thief', 'Bulk Up', 'Brick Break', 'Overheat', 'Bite', 'Earthquake', 'Fling', 'Double-Edge', 'Taunt', 'Tera Blast', 'Bulldoze', 'Focus Blast', 'Endure', 'Sludge Bomb', 'Mud-Slap', 'Ice Fang', 'Play Rough', 'Metronome', 'Uproar', 'Curse', 'Fire Punch', 'Thunder Punch', 'Hyper Beam', 'Stone Edge', 'Endeavor', 'Close Combat', 'Rock Slide', 'Sleep Talk', 'Helping Hand', 'Lick', 'Thunder Fang', 'Fake Tears', 'Temper Flare', 'Rain Dance', 'Fire Fang', 'Stomping Tantrum', 'Shadow Ball', 'Take Down', 'Charm', 'Outrage', 'Trailblaze', 'Thunder Wave', 'Water Pulse', 'Rest', 'Hyper Voice', 'Sunny Day', 'Rock Tomb', 'Thunderbolt', 'Scary Face', 'Focus Punch', 'Body Slam', 'Psychic Fangs', 'Thunder', 'Encore', 'Payback', 'Spite', 'Tail Whip', 'Dig', 'Crunch', 'Giga Impact', 'Solar Beam', 'Growl', 'Roar', 'Facade', 'Super Fang', 'Reversal', 'Fire Blast', 'Snarl', 'Dazzling Gleam', 'Ice Punch', 'Headbutt', 'Substitute', 'Lash Out', 'Low Sweep', 'Protect', 'Flamethrower', 'Tackle', 'Last Resort', 'Wild Charge'}"
Qwilfish,0211,"['Water', 'Poison']",0.5 m (1′08″),3.9 kg (8.6 lbs),"['Poison Point', 'Swift Swim', 'Intimidate']",65,95,85,55,55,85,440,set()
Scizor,0212,"['Bug', 'Steel']",1.8 m (5′11″),118.0 kg (260.1 lbs),"['Swarm', 'Technician', 'Light Metal']",70,130,100,55,80,65,500,"{'Air Cutter', 'Quick Attack', 'Dual Wingbeat', 'Quick Guard', 'Curse', 'Iron Defense', 'Rest', 'Iron Head', 'Knock Off', 'Double Hit', 'Leer', 'X-Scissor', 'Metal Claw', 'Thief', 'Giga Impact', 'Sunny Day', 'Brick Break', 'Hyper Beam', 'Tailwind', 'Feint', 'Air Slash', 'Close Combat', 'Bug Bite', 'Pounce', 'Bullet Punch', 'Struggle Bug', 'Facade', 'Defog', 'Sleep Talk', 'Skitter Smack', 'Hard Press', 'Aerial Ace', 'Reversal', 'Double Team', 'Scary Face', 'Fling', 'Swift', 'Double-Edge', 'U-turn', 'Helping Hand', 'Focus Energy', 'Tera Blast', 'False Swipe', 'Counter', 'Bug Buzz', 'Night Slash', 'Steel Beam', 'Lunge', 'Endure', 'Substitute', 'Slash', 'Wing Attack', 'Acrobatics', 'Rain Dance', 'Sandstorm', 'Light Screen', 'Protect', 'Agility', 'Flash Cannon', 'Vacuum Wave', 'Take Down', 'Fury Cutter', 'Baton Pass', 'Trailblaze', 'Swords Dance'}"
Shuckle,0213,"['Bug', 'Rock']",0.6 m (2′00″),20.5 kg (45.2 lbs),"['Sturdy', 'Gluttony', 'Contrary']",20,10,230,10,230,5,505,"{'Shell Smash', 'Gastro Acid', 'Rest', 'Sticky Web', 'Dig', 'Knock Off', 'Rock Smash', 'Power Trick', 'Wrap', 'Sunny Day', 'Stone Edge', 'Rock Tomb', 'Acid', 'Bug Bite', 'Struggle Bug', 'Rock Slide', 'Guard Split', 'Strength', 'Facade', 'Sleep Talk', 'Earthquake', 'Withdraw', 'Flash', 'Final Gambit', 'Double Team', 'Attract', 'Toxic', 'Covet', 'Stealth Rock', 'Swagger', 'Helping Hand', 'Rollout', 'Sweet Scent', 'Bulldoze', 'Rock Blast', 'Defense Curl', 'Endure', 'Substitute', 'Sludge Bomb', 'Power Split', 'Sandstorm', 'Rock Throw', 'Rock Polish', 'Protect', 'Safeguard', 'Infestation', 'Sand Tomb', 'Gyro Ball', 'Mud-Slap', 'Acupressure'}"
Heracross,0214,"['Bug', 'Fighting']",1.5 m (4′11″),54.0 kg (119.0 lbs),"['Swarm', 'Guts', 'Moxie']",80,125,75,40,95,85,500,"{'High Horsepower', 'Arm Thrust', 'Smart Strike', 'Shadow Claw', 'Curse', 'Fury Attack', 'Iron Defense', 'Dig', 'Rest', 'Focus Punch', 'Knock Off', 'Low Kick', 'Coaching', 'Leer', 'Seismic Toss', 'Thief', 'Bulk Up', 'Brick Break', 'Megahorn', 'Sunny Day', 'Stone Edge', 'Rock Tomb', 'Giga Impact', 'Hyper Beam', 'Feint', 'Close Combat', 'Endeavor', 'Bug Bite', 'Thrash', 'Struggle Bug', 'Pounce', 'Spikes', 'Rock Slide', 'Facade', 'Sleep Talk', 'Earthquake', 'Skitter Smack', 'Throat Chop', 'Aerial Ace', 'Reversal', 'Upper Hand', 'Fling', 'Smack Down', 'Double-Edge', 'Helping Hand', 'Tera Blast', 'Horn Attack', 'Harden', 'Bulldoze', 'Counter', 'Flail', 'False Swipe', 'Night Slash', 'Body Slam', 'Rock Blast', 'Focus Blast', 'Bug Buzz', 'Endure', 'Substitute', 'Lunge', 'Pin Missile', 'Bullet Seed', 'Rain Dance', 'Protect', 'Vacuum Wave', 'Tackle', 'Take Down', 'Trailblaze', 'Swords Dance'}"
Sneasel,0215,"['Dark', 'Ice']",0.9 m (2′11″),28.0 kg (61.7 lbs),"['Inner Focus', 'Keen Eye', 'Pickpocket']",55,95,55,35,75,115,430,"{'Quick Attack', 'Spite', 'Calm Mind', 'Water Pulse', 'Shadow Claw', 'Trailblaze', 'Avalanche', 'Dig', 'Rest', 'Low Kick', 'Double Hit', 'Leer', 'X-Scissor', 'Metal Claw', 'Thief', 'Giga Impact', 'Sunny Day', 'Brick Break', 'Triple Axel', 'Feint', 'Snowscape', 'Bite', 'Ice Beam', 'Facade', 'Sleep Talk', 'Foul Play', 'Nasty Plot', 'Blizzard', 'Throat Chop', 'Aerial Ace', 'Reversal', 'Screech', 'Icicle Spear', 'Upper Hand', 'Scary Face', 'Snarl', 'Fling', 'Ice Shard', 'Swift', 'Icy Wind', 'Taunt', 'Ice Punch', 'Helping Hand', 'Beat Up', 'Tera Blast', 'Counter', 'False Swipe', 'Focus Punch', 'Fake Tears', 'Endure', 'Substitute', 'Dark Pulse', 'Lash Out', 'Surf', 'Slash', 'Fake Out', 'Rain Dance', 'Poison Jab', 'Hone Claws', 'Knock Off', 'Low Sweep', 'Protect', 'Agility', 'Shadow Ball', 'Take Down', 'Scratch', 'Fury Swipes', 'Icicle Crash', 'Swords Dance'}"
